3.8.0 (default, Nov 16 2019, 06:37:13) 
[Clang 11.0.0 (clang-1100.0.33.12)]
vmi-mattermost-5.22.1-centos-7.7-amd64-100gb => d278539e-408c-4688-b216-7a2293b31ace
vmi-mattermost-5.22.1-centos-7.7-amd64 => e801e590-49e4-4e47-bfe4-20205cd95a53
vmi-mattermost-5.22.1-centos-7.7-amd64-30gb => 5cb1e7ca-b2a0-4bd8-a01f-94551202dd72
vmi-mattermost-5.22.1-centos-7.7-amd64-20gb => 29700de1-6d2a-4781-b082-9a99db16f8f3
vmi-jitsi-2.0.4468-ubuntu-18.04-amd64-100gb => 4167a987-5e15-4372-aacc-f8cee3505f72
vmi-jitsi-2.0.4468-ubuntu-18.04-amd64 => e2114c97-a6b6-4aa1-8687-c47739af55e9
vmi-owncloud-10.4.0-centos-7.7-amd64-100gb => 23e85374-7c8c-4907-9447-80b0589129c3
vmi-owncloud-10.4.0-centos-7.7-amd64 => c3ba4767-eb14-4922-a27f-3b880186202b
vmi-owncloud-10.4.0-centos-7.7-amd64-30gb => 5c4341c8-b1b6-4bf3-ae49-4aaa9e5fcaff
vmi-owncloud-10.4.0-centos-7.7-amd64-20gb => 51e14759-578e-4351-b3aa-9d7f48dc166e
vmi-dokku-0.20.0-ubuntu-18.04-amd64-100gb => 657faafa-250b-4931-bfd7-04cf2b1162b6
vmi-dokku-0.20.0-ubuntu-18.04-amd64 => 05180fe5-3eb8-4be5-8fda-49218cd02843
vmi-dokku-0.20.0-ubuntu-18.04-amd64-30gb => e5136af7-0ceb-42d6-be30-b79fe6c8eed6
vmi-dokku-0.20.0-ubuntu-18.04-amd64-20gb => 7fbfc4e0-8227-4db5-801d-02ad54cd73af
vmi-docker-19.03-ubuntu-18.04-amd64-100gb => 23c1121b-cfe1-4cd7-829a-f1aa1c98c6ab
vmi-docker-19.03-ubuntu-18.04-amd64 => a39a6a92-8286-4f4d-acc5-5b9b8b02f5b9
vmi-docker-19.03-ubuntu-18.04-amd64-30gb => daa5ad3c-964f-4030-8b7a-45fc3da7c2f0
vmi-docker-19.03-ubuntu-18.04-amd64-20gb => 4ebaa666-6c8c-4ca8-8f69-9fe2619fc06e
vmi-mediawiki-1.34.1-centos-7.7-amd64-100gb => 6ef851e8-64ad-4322-8f75-606033c9394b
vmi-mediawiki-1.34.1-centos-7.7-amd64 => e388c49b-c0fb-41ca-970d-cc754fc1c642
vmi-mediawiki-1.34.1-centos-7.7-amd64-30gb => 369baf35-83b6-4467-89b4-0fc50ecf5d1d
vmi-mediawiki-1.34.1-centos-7.7-amd64-20gb => 7f1f4dd9-7eea-48ad-b121-5d17dae522d4
vmi-csgo-latest-ubuntu-18.04-amd64-100gb => f69772aa-2844-447a-83e6-7868fb256734
vmi-csgo-latest-ubuntu-18.04-amd64 => 3758001c-fd11-4b91-8581-b60dca6829e2
vmi-matomo-3.13.3-centos-7.7-amd64-100gb => 9de566cc-2fe5-4ea1-aa54-83c7a02f32d7
vmi-matomo-3.13.3-centos-7.7-amd64 => c90e3439-9081-4a93-9f3b-1bc50d11b374
vmi-matomo-3.13.3-centos-7.7-amd64-30gb => a042372c-19a7-4901-9ed9-35577464ec0e
vmi-matomo-3.13.3-centos-7.7-amd64-20gb => 1a9d0f8d-bf7e-4780-8b42-1cbf3a8c81e8
